feature,target,spearman_rho,p_value,n,abs_rho
compactness_polsby,coh_short,-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
convexity_fill,att_18-30h (diurnal),-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
convexity_fill,att_diurnal,-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
core_frac_25,att_18-30h (diurnal),0.3333333333333334,0.4197530864197531,8,0.3333333333333334
core_frac_25,att_2-7d,0.3333333333333334,0.4197530864197531,8,0.3333333333333334
core_frac_25,att_diurnal,0.3333333333333334,0.4197530864197531,8,0.3333333333333334
core_frac_50,att_18-30h (diurnal),0.3333333333333334,0.4197530864197531,8,0.3333333333333334
core_frac_50,att_2-7d,0.3333333333333334,0.4197530864197531,8,0.3333333333333334
core_frac_50,att_diurnal,0.3333333333333334,0.4197530864197531,8,0.3333333333333334
edge_frac_25,att_18-30h (diurnal),-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
edge_frac_25,att_2-7d,-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
edge_frac_25,att_diurnal,-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
edge_frac_50,att_18-30h (diurnal),-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
edge_frac_50,att_2-7d,-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
edge_frac_50,att_diurnal,-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
equiv_radius_m,att_2-6h,-0.3333333333333334,0.4197530864197531,8,0.3333333333333334
compactness_polsby,att_6-18h,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
compactness_polsby,coh_18-30h (diurnal),0.30952380952380953,0.4556448907375822,8,0.30952380952380953
compactness_polsby,coh_diurnal,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
core_frac_25,att_short,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
core_frac_25,coh_7-14d,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
core_frac_25,coh_long,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
core_frac_50,att_short,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
core_frac_50,coh_7-14d,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
core_frac_50,coh_long,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
distance_km,att_2-6h,-0.30952380952380953,0.4556448907375822,8,0.30952380952380953
edge_frac_25,att_short,-0.30952380952380953,0.4556448907375822,8,0.30952380952380953
edge_frac_25,coh_7-14d,-0.30952380952380953,0.4556448907375822,8,0.30952380952380953
edge_frac_25,coh_long,-0.30952380952380953,0.4556448907375822,8,0.30952380952380953
edge_frac_50,att_short,-0.30952380952380953,0.4556448907375822,8,0.30952380952380953
edge_frac_50,coh_7-14d,-0.30952380952380953,0.4556448907375822,8,0.30952380952380953
edge_frac_50,coh_long,-0.30952380952380953,0.4556448907375822,8,0.30952380952380953
effective_width_m,att_long,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
elongation_ratio,att_long,-0.30952380952380953,0.4556448907375822,8,0.30952380952380953
elongation_ratio,coh_6-18h,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
elongation_ratio,coh_short,0.30952380952380953,0.4556448907375822,8,0.30952380952380953
perimeter_to_area,att_long,-0.30952380952380953,0.4556448907375822,8,0.30952380952380953
area_ha,att_long,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
area_ha,coh_7-14d,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
area_ha,coh_long,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
compactness_polsby,att_7-14d,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
convexity_fill,coh_18-30h (diurnal),0.28571428571428575,0.4927262450169573,8,0.28571428571428575
convexity_fill,coh_6-18h,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
convexity_fill,coh_diurnal,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
convexity_fill,coh_short,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
effective_width_m,att_7-14d,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
elongation_ratio,att_7-14d,-0.28571428571428575,0.4927262450169573,8,0.28571428571428575
equiv_radius_m,att_long,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
equiv_radius_m,coh_7-14d,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
equiv_radius_m,coh_long,0.28571428571428575,0.4927262450169573,8,0.28571428571428575
perimeter_to_area,att_7-14d,-0.28571428571428575,0.4927262450169573,8,0.28571428571428575
compactness_polsby,att_short,0.261904761904762,0.530922861565801,8,0.261904761904762
convexity_fill,att_short,-0.261904761904762,0.530922861565801,8,0.261904761904762
core_frac_25,att_long,0.261904761904762,0.530922861565801,8,0.261904761904762
core_frac_50,att_long,0.261904761904762,0.530922861565801,8,0.261904761904762
edge_frac_25,att_long,-0.261904761904762,0.530922861565801,8,0.261904761904762
edge_frac_50,att_long,-0.261904761904762,0.530922861565801,8,0.261904761904762
elongation_ratio,coh_18-30h (diurnal),-0.261904761904762,0.530922861565801,8,0.261904761904762
