year,file,status,tier_prelim,out_file,raw_time_min,raw_time_max,n_times_before_cutoff,time_ok,whole_hour_rows,unique_time_rows,step_1h_count,step_1d_count,hourly_step_frac,daily_step_frac,median_step,expected_hours,pm25_nonnull,pm25_na,pm25_na_frac,coverage_frac_of_year,pm25_negative,nonnull_run_count,longest_nonnull_run_hours,longest_nonnull_run_days,median_nonnull_run_hours,note
2021,outside_32.csv,OK,Tier B,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_32_2021_hourly.csv,2021-01-01 00:00:00+07:00,2026-02-19 23:00:00+07:00,,9316.0,9316.0,9316.0,9039.0,268.0,0.9703703703703703,0.02877079978529254,0 days 01:00:00,8760.0,8691.0,69.0,0.007876712328767124,0.9921232876712329,65.0,34.0,1876.0,78.16666666666667,125.5,
2022,outside_32.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_32_2022_hourly.csv,2021-01-01 00:00:00+07:00,2026-02-19 23:00:00+07:00,,9316.0,9316.0,9316.0,9039.0,268.0,0.9703703703703703,0.02877079978529254,0 days 01:00:00,8760.0,221.0,8539.0,0.9747716894977169,0.025228310502283104,0.0,150.0,72.0,3.0,1.0,
2023,outside_32.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_32_2023_hourly.csv,2021-01-01 00:00:00+07:00,2026-02-19 23:00:00+07:00,,9316.0,9316.0,9316.0,9039.0,268.0,0.9703703703703703,0.02877079978529254,0 days 01:00:00,8760.0,310.0,8450.0,0.9646118721461188,0.03538812785388128,0.0,125.0,142.0,5.916666666666667,1.0,
2021,outside_35.csv,NO_DATA_IN_WINDOW,,,2022-01-01 00:00:00+07:00,2022-12-31 00:00:00+07:00,,365.0,365.0,365.0,0.0,364.0,0.0,1.0,1 days 00:00:00,,,,,,,,,,,
2022,outside_35.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_35_2022_hourly.csv,2022-01-01 00:00:00+07:00,2022-12-31 00:00:00+07:00,,365.0,365.0,365.0,0.0,364.0,0.0,1.0,1 days 00:00:00,8760.0,365.0,8395.0,0.9583333333333334,0.041666666666666664,0.0,365.0,1.0,0.041666666666666664,1.0,
2023,outside_35.csv,NO_DATA_IN_WINDOW,,,2022-01-01 00:00:00+07:00,2022-12-31 00:00:00+07:00,,365.0,365.0,365.0,0.0,364.0,0.0,1.0,1 days 00:00:00,,,,,,,,,,,
2021,outside_38.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_38_2021_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,1304.0,1304.0,1304.0,216.0,1087.0,0.16577129700690713,0.8342287029930928,1 days 00:00:00,8760.0,567.0,8193.0,0.9352739726027397,0.06472602739726027,4.0,351.0,217.0,9.041666666666666,1.0,
2022,outside_38.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_38_2022_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,1304.0,1304.0,1304.0,216.0,1087.0,0.16577129700690713,0.8342287029930928,1 days 00:00:00,8760.0,358.0,8402.0,0.9591324200913242,0.0408675799086758,0.0,358.0,1.0,0.041666666666666664,1.0,
2023,outside_38.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_38_2023_hourly.csv,2021-01-01 00:00:00+07:00,2024-01-02 00:00:00+07:00,,1304.0,1304.0,1304.0,216.0,1087.0,0.16577129700690713,0.8342287029930928,1 days 00:00:00,8760.0,365.0,8395.0,0.9583333333333334,0.041666666666666664,0.0,365.0,1.0,0.041666666666666664,1.0,
2021,outside_40.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_40_2021_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,1251.0,1251.0,1251.0,407.0,841.0,0.3256,0.6728,1 days 00:00:00,8760.0,572.0,8188.0,0.9347031963470319,0.06529680365296804,0.0,356.0,217.0,9.041666666666666,1.0,
